name,geometry,lat,lon,category
Edinburgh Napier University - Sighthill Campus,POINT (-3.2888608062522224 55.92443586355694),55.92443586,-3.288860806,university
1894 Building,POINT (-3.1878546143101434 55.923162776732624),55.92316278,-3.187854614,university
University of Edinburgh - Little France Campus,POINT (-3.1384950898255597 55.92217817917315),55.92217818,-3.13849509,university
Edinburgh Napier University - Merchiston Campus,POINT (-3.2140575850475797 55.93322827426435),55.93322827,-3.214057585,university
,POINT (-3.1951709182741483 55.94956238226182),55.94956238,-3.195170918,university
Old College (University of Edinburgh),POINT (-3.1872563204929 55.94741701371298),55.94741701,-3.18725632,university
Adam Smith's Panmure House,POINT (-3.178399107935966 55.95221139854865),55.9522114,-3.178399108,university
The Royal College of Surgeons of Edinburgh,POINT (-3.1845534693182085 55.94666041051234),55.94666041,-3.184553469,university
Royal College of Physicians of Edinburgh,POINT (-3.196538196711928 55.95488353009254),55.95488353,-3.196538197,university
University of Edinburgh - Edinburgh Futures Institute,POINT (-3.1927295494034498 55.94460062284525),55.94460062,-3.192729549,university
Institute of Design Informatics,POINT (-3.1869367397984965 55.94517079374614),55.94517079,-3.18693674,university
