lat,lon,type,name
55.957976,-3.199099,bus,
55.958864,-3.195522,bus,
55.951644,-3.211619,bus,
55.950478,-3.208684,bus,
55.956534,-3.202273,bus,
55.955122,-3.201525,bus,
55.902627,-3.220806,bus,
55.90223,-3.216491,bus,
55.902213,-3.212748,bus,
55.902211,-3.208365,bus,
55.901889,-3.206356,bus,
55.896991,-3.203677,bus,
55.899098,-3.204142,bus,
55.9021,-3.205035,bus,
55.904209,-3.207148,bus,
55.906675,-3.20852,bus,
55.909043,-3.20989,bus,
55.910536,-3.211584,bus,
55.912968,-3.213708,bus,
55.915385,-3.213687,bus,
55.91723,-3.213377,bus,
55.900232,-3.200339,bus,
55.899042,-3.194193,bus,
55.899169,-3.19039,bus,
55.89985,-3.175617,bus,
55.899749,-3.172064,bus,
55.899638,-3.169597,bus,
55.899911,-3.16452,bus,
55.907949,-3.225116,bus,
55.909143,-3.222467,bus,
55.910311,-3.22068,bus,
55.91152,-3.219294,bus,
55.913729,-3.217587,bus,
55.915801,-3.217044,bus,
55.917963,-3.216536,bus,
55.919834,-3.212626,bus,
55.92128,-3.211823,bus,
55.923837,-3.210367,bus,
55.916809,-3.230516,bus,
55.916746,-3.227746,bus,
55.916789,-3.226211,bus,
55.916781,-3.223315,bus,
55.918965,-3.222424,bus,
55.921038,-3.221721,bus,
55.922197,-3.222653,bus,
55.92231,-3.221233,bus,
55.922634,-3.217562,bus,
55.923114,-3.214457,bus,
55.924421,-3.210385,bus,
55.924736,-3.208554,bus,
55.92497,-3.202944,bus,
55.92563,-3.19978,bus,
55.926109,-3.193953,bus,
55.926266,-3.189829,bus,
55.926376,-3.18772,bus,
55.927492,-3.187578,bus,
55.929142,-3.188813,bus,
55.93121,-3.187755,bus,
55.931467,-3.187219,bus,
55.932471,-3.183712,bus,
55.933573,-3.185859,bus,
55.929897,-3.190692,bus,
55.932221,-3.192892,bus,
55.93051,-3.192344,bus,
55.926085,-3.209348,bus,
55.928069,-3.209538,bus,
55.93024,-3.209814,bus,
55.932546,-3.210158,bus,
55.930923,-3.190468,bus,
55.932232,-3.209252,bus,
55.933339,-3.2045,bus,
55.933803,-3.200192,bus,
55.934214,-3.197676,bus,
55.935235,-3.194282,bus,
55.936105,-3.194485,bus,
55.938597,-3.195058,bus,
55.939861,-3.195369,bus,
55.936684,-3.194022,bus,
55.938202,-3.192292,bus,
55.939671,-3.186237,bus,
55.939677,-3.190224,bus,
55.941595,-3.200065,bus,
55.943296,-3.202488,bus,
55.934756,-3.210243,bus,
55.936085,-3.209404,bus,
55.937076,-3.20729,bus,
55.939771,-3.204588,bus,
55.941299,-3.203626,bus,
55.942907,-3.20374,bus,
55.931314,-3.22571,bus,
55.934233,-3.223129,bus,
55.936366,-3.220106,bus,
55.937246,-3.217444,bus,
55.938576,-3.214701,bus,
55.939916,-3.211813,bus,
55.940935,-3.209619,bus,
55.941749,-3.20545,bus,
55.945119,-3.205426,bus,
55.946488,-3.205933,bus,
55.948049,-3.207119,bus,
55.949255,-3.206916,bus,
55.941394,-3.199419,bus,
55.939747,-3.189506,bus,
55.939873,-3.185811,bus,
55.944357,-3.202392,bus,
55.944972,-3.196519,bus,
55.950713,-3.204815,bus,
55.950855,-3.204083,bus,
55.950962,-3.203318,bus,
55.951266,-3.201614,bus,
55.951371,-3.20096,bus,
55.951485,-3.200323,bus,
55.952504,-3.199938,bus,
55.953252,-3.199721,bus,
55.953424,-3.19867,bus,
55.956238,-3.198564,bus,
55.954486,-3.197597,bus,
55.95251,-3.196543,bus,
55.95146,-3.196447,bus,
55.948708,-3.192102,bus,
55.947517,-3.189808,bus,
55.946195,-3.189928,bus,
55.946042,-3.187089,bus,
55.944002,-3.185249,bus,
55.941025,-3.18282,bus,
55.952352,-3.195273,bus,
55.952437,-3.194811,bus,
55.952532,-3.19427,bus,
55.953977,-3.195355,bus,
55.953188,-3.190591,bus,
55.953236,-3.190272,bus,
55.955687,-3.194207,bus,
55.956648,-3.188695,bus,
55.971332,-3.20693,bus,
55.977662,-3.209275,bus,
55.976255,-3.209792,bus,
55.974946,-3.209511,bus,
55.974596,-3.206712,bus,
55.973241,-3.205676,bus,
55.972009,-3.204804,bus,
55.971814,-3.203581,bus,
55.972574,-3.198445,bus,
55.973342,-3.193405,bus,
55.980811,-3.222563,bus,
55.98027,-3.22003,bus,
55.980284,-3.215816,bus,
55.980432,-3.2109,bus,
55.980105,-3.207572,bus,
55.980027,-3.203595,bus,
55.979447,-3.197664,bus,
55.977867,-3.196573,bus,
55.977651,-3.192913,bus,
55.975586,-3.190862,bus,
55.961929,-3.195392,bus,
55.959689,-3.19103,bus,
55.958719,-3.19004,bus,
55.957415,-3.18835,bus,
55.954293,-3.187806,bus,
55.955604,-3.186981,bus,
55.958957,-3.18404,bus,
55.962032,-3.180113,bus,
55.964298,-3.178949,bus,
55.963176,-3.195591,bus,
55.964086,-3.19352,bus,
55.966013,-3.18935,bus,
55.964456,-3.18589,bus,
55.962307,-3.182284,bus,
55.967713,-3.187336,bus,
55.973693,-3.188753,bus,
55.972758,-3.187843,bus,
55.970113,-3.186336,bus,
55.968688,-3.184065,bus,
55.967135,-3.182031,bus,
55.965571,-3.180253,bus,
55.980711,-3.197013,bus,
55.980882,-3.19423,bus,
55.980316,-3.190494,bus,
55.979132,-3.183695,bus,
55.977006,-3.179576,bus,
55.974056,-3.188315,bus,
55.974565,-3.184886,bus,
55.974978,-3.182142,bus,
55.969245,-3.184018,bus,
55.970564,-3.180549,bus,
55.971906,-3.176424,bus,
55.974773,-3.178258,bus,
55.973187,-3.17587,bus,
55.971938,-3.173044,bus,
55.974543,-3.17221,bus,
55.975956,-3.170105,bus,
55.979862,-3.177932,bus,
55.978077,-3.179416,bus,
55.97721,-3.17431,bus,
55.976553,-3.170604,bus,
55.975932,-3.167845,bus,
55.975005,-3.162289,bus,
55.964186,-3.177552,bus,
55.966596,-3.175462,bus,
55.968671,-3.173666,bus,
55.971151,-3.172684,bus,
55.950533,-3.185432,bus,
55.951618,-3.179076,bus,
55.952487,-3.175659,bus,
55.953931,-3.173989,bus,
55.953751,-3.187164,bus,
55.953882,-3.18294,bus,
55.953462,-3.179853,bus,
55.955926,-3.173008,bus,
55.956487,-3.172673,bus,
55.957945,-3.182712,bus,
55.957845,-3.179137,bus,
55.957779,-3.17662,bus,
55.957687,-3.173094,bus,
55.958182,-3.172036,bus,
55.960587,-3.171467,bus,
55.962909,-3.170993,bus,
55.96418,-3.170647,bus,
55.966108,-3.17008,bus,
55.968054,-3.168601,bus,
55.969977,-3.16946,bus,
55.972714,-3.162316,bus,
55.971204,-3.161342,bus,
55.968241,-3.165931,bus,
55.966068,-3.163799,bus,
55.964706,-3.162477,bus,
55.962836,-3.159729,bus,
55.961724,-3.158543,bus,
55.959984,-3.157225,bus,
55.969191,-3.16612,bus,
55.969495,-3.163501,bus,
55.963029,-3.157396,bus,
55.969558,-3.159658,bus,
55.967467,-3.157497,bus,
55.965145,-3.154992,bus,
